,unprocessed_tweet,product,emotion,processed_tweet
3892,Loved Marissa Mayer's answer to question about her favorite not Google product: 1. another Amy's Ice Cream ref. And 2. her Swiss watch #SXSW,,No emotion toward brand or product,loved marissa mayer answer question favorite google product 1 another amys ice cream ref 2 swiss watch sxsw
3893,#sxsw - Missed Marissa Mayer @mention yesterday - is presentation available anywhere? Not sure if was streamed.,,No emotion toward brand or product,sxsw missed marissa mayer mention yesterday presentation available anywhere sure streamed
3894,the panelist from Texas Observer called the iPad a lean back device #SXSW #in #newsapp #i'mconfused,,I can't tell,panelist texas observer called ipad lean back device sxsw newsapp imconfused
3895,Must. Resist. Buying a iPad2 @mention #SXSW. Really want a #notionink #adam instead... but apple have a store for the launch in #SXSW :/,iPad,Positive emotion,must resist buying ipad2 mention sxsw really want notionink adam instead apple store launch sxsw
3896,Someone mistakenly walked off with my iPad from the #pepsicostage. @mention the screen looks like this. #SXSW {link},,No emotion toward brand or product,someone mistakenly walked ipad pepsicostage mention screen look like sxsw link
3897,"#SXSW : Mistakes Made Building Netflix for iPhone (Plus, How to See Its Source Code!)

 {link}",,No emotion toward brand or product,sxsw mistake made building netflix iphone plus see source code link
3898,"#sxsw #twit #geekbeat Free Idea: a hooded snuggie with a tummy pocket for an iPad facing out, so you look like a #TeleTubbie. I'm old",,No emotion toward brand or product,sxsw twit geekbeat free idea hooded snuggie tummy pocket ipad facing look like teletubbie im old
3899,The exhibit hall is open at #SXSW! Visit #EMC for a chance to win an iPad 2! @mention,iPad,Positive emotion,exhibit hall open sxsw visit emc chance win ipad 2 mention
3900,"I'd love it if Google said, &quot;Why do you want to know?&quot; #sxsw",,No emotion toward brand or product,id love google said quotwhy want knowquot sxsw
3901,Has made it into the press room got the swag and registered for an iPad 2. Hopefully get to meet mike tyson and @mention #sxsw,,No emotion toward brand or product,made press room got swag registered ipad 2 hopefully get meet mike tyson mention sxsw
3902,You know it is #SXSW season when there are 10 app updates whenever you open up the iPhone app store,,No emotion toward brand or product,know sxsw season 10 app update whenever open iphone app store
3903,"@mention it is a good question &amp; for most brands, the answer is probably no! Except apple of course..maybe Netflix too?. #SxSW",Apple,Positive emotion,mention good question amp brand answer probably except apple coursemaybe netflix sxsw
3904,Both? If it made sense financially I would have both. RT @mention Android vs IPhone at  #SXSW which side are you on?,,No emotion toward brand or product,made sense financially would rt mention android v iphone sxsw side
3905,@mention It sounds like you were hired by Apple to pitch their products at #SXSW,,No emotion toward brand or product,mention sound like hired apple pitch product sxsw
3906,Gotta admit this Apple Pop-up shop thing at #sxsw is pretty brilliant. So someone at AAPL knows what they're doing,Apple,Positive emotion,got ta admit apple popup shop thing sxsw pretty brilliant someone aapl know theyre
3907,"I cant wait to give the SAMSUNG people a demo of my horrible, terrible Google Nexus S phone at #sxsw",Google,Negative emotion,cant wait give samsung people demo horrible terrible google nexus phone sxsw
3908,"And now, it won't pull from website to iPhone. Awesome. Glad I wasted that time. #festivalgenius #notsomuch #sxsw",iPhone,Negative emotion,pull website iphone awesome glad wasted time festivalgenius notsomuch sxsw
3909,You said it!  Even better 2 have iPhone w/Verizon! Revenge 4 yrs of ridicule! RT @mention Very glad to be a #verizon customer! #sxsw,iPhone,Positive emotion,said even better 2 iphone wverizon revenge 4 yr ridicule rt mention glad verizon customer sxsw
3910,They did it! Unlisted Apple Store suddenly appears on the corner of 6th &amp; Congress! #apple #iPad #SXSW {link},Apple,Positive emotion,unlisted apple store suddenly appears corner 6th amp congress apple ipad sxsw link
3911,@mention It's actually true! Apple is opening up a temporary store in downtown Austin for #SXSW &amp;iPad2 launch {link},,No emotion toward brand or product,mention actually true apple opening temporary store downtown austin sxsw ampipad2 launch link
3912,You know it's bad with you have to un-RSVP just to see/use your calendar.  #iphone #sxsw #FML,,Negative emotion,know bad unrsvp seeuse calendar iphone sxsw fml
3913,@mention It's crazy here! Loving it. Never seen so many Apple products &amp; thick rimmed glasses in one place. #sxsw,Apple,Positive emotion,mention crazy loving never seen many apple product amp thick rimmed glass one place sxsw
3914,@mention It's the next step of Google becoming Skynet. #SXSW,Google,Negative emotion,mention next step google becoming skynet sxsw
3915,#sxsw digital innovators the new rock stars like @mention awesome talk. Insight into @mention future #musicconnex,,No emotion toward brand or product,sxsw digital innovator new rock star like mention awesome talk insight mention future musicconnex
3916,We're excited to be at #sxsw and giddy to announce that Music WithMe for Android is now available in Android Market. {link},Android App,Positive emotion,excited sxsw giddy announce music withme android available android market link
3917,I think literally everyone here has an iPhone. A guy just dropped his iPhone on my foot. #sxsw,,No emotion toward brand or product,think literally everyone iphone guy dropped iphone foot sxsw
3918,Playing with {link}  New service rolled out at #SXSW  Web or iphone version.  Android and webos?,,No emotion toward brand or product,playing link new service rolled sxsw web iphone version android webos
3919,Hanging with @mention checking out her awesome new iPhone app Ask Around #SXSW (@mention Six Lounge w/ 10 others) {link},iPad or iPhone App,Positive emotion,hanging mention checking awesome new iphone app ask around sxsw mention six lounge w 10 others link
3920,Hanging with @mention for last night of #SXSW at @mention party. #blast,,No emotion toward brand or product,hanging mention last night sxsw mention party blast
3921,"I agree with @mention on their @mention concerns, but your #sxsw #microformats panelist is just condescending and rude.",,I can't tell,agree mention mention concern sxsw microformats panelist condescending rude
3922,In line with @mention and Rob ... #apple #iPad2 #sxsw,,No emotion toward brand or product,line mention rob apple ipad2 sxsw
3923,Q&amp;A with #bing &amp; #google. Let the games begin #qagb #sxsw,,No emotion toward brand or product,qampa bing amp google let game begin qagb sxsw
3924,Finally with a picture! RT @mention Apple to Open Pop-Up Shop at SXSW [REPORT] - {link} #sxsw,,No emotion toward brand or product,finally picture rt mention apple open popup shop sxsw report link sxsw
3925,Q&amp;A With Google &amp; Bing On Website Ranking at #SXSW rockstar panel lineup,,No emotion toward brand or product,qampa google amp bing website ranking sxsw rockstar panel lineup
3926,Q&amp;A With Google's @mention &amp; Bing's @mention On Ranking - my #SXSW session this Mon 12:30pm {link},,No emotion toward brand or product,qampa google mention amp bings mention ranking sxsw session mon 1230pm link
3927,"Playing with my fave new iPhone app, @mention Wow, this will rock at #SXSW next week!",iPad or iPhone App,Positive emotion,playing fave new iphone app mention wow rock sxsw next week
3928,dancing with myself at google 80s party.... ain't that the truth! need my girl @mention up in this joint #SXSW {link},,Positive emotion,dancing google 80 party aint truth need girl mention joint sxsw link
3929,keep up with new on #Japan quake from iPhone at #SXSW - NHK World TV Live  {link},iPhone,Positive emotion,keep new japan quake iphone sxsw nhk world tv live link
3930,Filming with the iPad is so much cooler than a lame iPhone... #sxsw (at @mention live show)  {link},iPad,Positive emotion,filming ipad much cooler lame iphone sxsw mention live show link
3931,Playing with the iPad 2. In black and white. #sxsw {link},iPad,Positive emotion,playing ipad 2 black white sxsw link
3932,One Day Without Shoes (Thoms Shoes) New App for the iPhone and Android {link} #sxsw,,No emotion toward brand or product,one day without shoe thoms shoe new app iphone android link sxsw
3933,Mayer admits that Google needs to &quot;consolidate&quot; some of its products ÛÒ namely Latitude and Hotpot ÛÒ into &quot;features of products&quot; #sxsw,,No emotion toward brand or product,mayer admits google need quotconsolidatequot product namely latitude hotpot quotfeatures productsquot sxsw
3934,Mayer admits that Google needs to step up one-to-one customer service. Would set an amazing precedent! #sxsw #fh,Google,Positive emotion,mayer admits google need step onetoone customer service would set amazing precedent sxsw fh
3935,Maybe a little too excited about seeing the bear-creatures from that iPhone vs Evo video. Er. Priorities: I has them. #sxsw,iPhone,Positive emotion,maybe little excited seeing bearcreatures iphone v evo video er priority sxsw
3936,LAX security had a few questions about my suitcase packed entirely with energy drinks and Apple wires. #SXSW #BlowingUp,,No emotion toward brand or product,lax security question suitcase packed entirely energy drink apple wire sxsw blowingup
3937,Productivity is lost as no hookup to put iPad on the screen. #busy #sxsw,,No emotion toward brand or product,productivity lost hookup put ipad screen busy sxsw
3938,"My exclusive Apple iPad 2 Review: More of the Same, but Still Better Than the Rest {link} #bnet #biz #ipad2 #apple #sxsw #ipad",iPad,Positive emotion,exclusive apple ipad 2 review still better rest link bnet biz ipad2 apple sxsw ipad
3939,I would give my Apple stock to be more like @mention {link} #SXSW,,I can't tell,would give apple stock like mention link sxsw
3940,I would give my Apple stock to be more like @mention slim. {link} #SXSW,,Positive emotion,would give apple stock like mention slim link sxsw
3941,need to give my iPhone &amp; liver a rest. #SXSW,,I can't tell,need give iphone amp liver rest sxsw
3942,the creative process illustrated.  check out the book {link} #sxsw,,No emotion toward brand or product,creative process illustrated check book link sxsw
3943,I'll be live-tweeting the #SxSW panel &quot;Google's Marissa Mayer presents&quot; starting at 3:30. Follow along using the #SUxSW hashtag!,,No emotion toward brand or product,ill livetweeting sxsw panel quotgoogles marissa mayer presentsquot starting 330 follow along using suxsw hashtag
3944,"They're giving away iPad 2's, x boxes and books at @mention #sxsw #techenvy",iPad,Positive emotion,theyre giving away ipad 2 x box book mention sxsw techenvy
3945,The Netflix iPhone app was built to a &quot;ridiculous deadline&quot;. Big mistake on the tech's part to agree to it #sxsw,iPad or iPhone App,Negative emotion,netflix iphone app built quotridiculous deadlinequot big mistake tech part agree sxsw
3946,Just realized you can really talk to the dog using IPad FaceTime #sxsw,,No emotion toward brand or product,realized really talk dog using ipad facetime sxsw
3947,Just met Jared at the Android meetup #sxsw. Big Android fan!  {link},Android,Positive emotion,met jared android meetup sxsw big android fan link
3948,"That was JC Penney locations in Google Maps... now point to stuff other than stores, guy claims #sxsw",,No emotion toward brand or product,jc penney location google map point stuff store guy claim sxsw
3949,@mention jealous! I love both apple stores and #sxsw!,Apple,Positive emotion,mention jealous love apple store sxsw
3950,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,really enjoying change gowalla 30 android looking forward seeing else amp foursquare sleeve sxsw
3951,Google's JS implementation of PAC-Man's game logic is really cool to see-really neat that the original game code was recreated in JS #sxsw,Google,Positive emotion,google j implementation pacmans game logic really cool seereally neat original game code recreated j sxsw
3952,"@mention just arrived at the #GSDM &amp; #Google #SXSW Industry Party Austin, TX.",,No emotion toward brand or product,mention arrived gsdm amp google sxsw industry party austin tx
3953,@mention just blogged our meeting earlier! {link} - thanks for the interesting insight! #SXSW,,No emotion toward brand or product,mention blogged meeting earlier link thanks interesting insight sxsw
3954,@mention just checking out the  #iPhone app. Very nice - Check it out at {link} have fun at #sxsw,iPad or iPhone App,Positive emotion,mention checking iphone app nice check link fun sxsw
3955,@mention Just found out apple is opening a pop-up shop in DT Austin. Hoping I don't have to camp out w @mention #SXSW,,No emotion toward brand or product,mention found apple opening popup shop dt austin hoping camp w mention sxsw
3956,@mention just gave a great 15 minute preso on designing for #android! #mccannsxsw #SXSW,Android,Positive emotion,mention gave great 15 minute preso designing android mccannsxsw sxsw
3957,@mention just google &quot;Google Circle.&quot; new social network concept originally rumored 2 b released at #sxsw 2 day but now just &quot;soon.&quot;,,No emotion toward brand or product,mention google quotgoogle circlequot new social network concept originally rumored 2 b released sxsw 2 day quotsoonquot
3958,@mention just got me an iPad from #SXSW Apple Store.  Thank you SO much!!!!,iPad,Positive emotion,mention got ipad sxsw apple store thank much
3959,@mention Just got my #SXSW Go iphone App! {link},iPad or iPhone App,Positive emotion,mention got sxsw go iphone app link
3960,@mention just saw you at lax I'm heading to #Sxsw  If you or your wife have an iPhone or iPad download my app #Freespeech @mention,iPad or iPhone App,Positive emotion,mention saw lax im heading sxsw wife iphone ipad download app freespeech mention
3961,@mention Just started using the Android app. Totally killer service and I think you'll be huge at #SXSW! Hope your servers are ready. ;),Android App,Positive emotion,mention started using android app totally killer service think huge sxsw hope server ready
3962,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive emotion,sxsw starting ctia around corner googleio hop skip jump good time android fan
3963,@mention Just synced my #iPad2 and full of Apple joy #SXSW ;),iPad,Positive emotion,mention synced ipad2 full apple joy sxsw
3964,@mention Just won an HTML5 t-shirt from google for saying that EaselJS is my favorite canvas library at #sxsw. Thanks brah!,Google,Positive emotion,mention html5 tshirt google saying easeljs favorite canvas library sxsw thanks brah
3965,Great link &gt;&gt; RT @mention  WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,great link gtgt rt mention link edchat musedchat sxsw sxswi classical newtwitter
3966,great talk about the Google Doodles and in the end they hand out printed signed doodles #SXSW  {link},Google,Positive emotion,great talk google doodle end hand printed signed doodle sxsw link
3967,LaunchRock And Vencorps Want To Give $30K To The ÛÏBestÛ Startups #SXSW {link},,No emotion toward brand or product,launchrock vencorps want give 30k best startup sxsw link
3968,"Weinschenk at #bankinnovation: next battle for this is going to happen with apple, google, verizon, att. Great point. Totally agree. #sxsw",Google,Positive emotion,weinschenk bankinnovation next battle going happen apple google verizon att great point totally agree sxsw
3969,Get a look at #SXSW's rumored #Apple &quot;pop-up&quot; store in Austin: {link},,No emotion toward brand or product,get look sxsws rumored apple quotpopupquot store austin link
3970,Get a look at #SXSW's rumored #Apple &quot;pop-up&quot; store in Austin: {link} via @mention,,No emotion toward brand or product,get look sxsws rumored apple quotpopupquot store austin link via mention
3971,Get a look at SXSW's rumored Apple pop-up store {link} #Apple #AppleStore #iPad2 #SXSW,,No emotion toward brand or product,get look sxsws rumored apple popup store link apple applestore ipad2 sxsw
3972,Get a look at SXSW's rumored Apple pop-up store {link} #sxsw #apple,,No emotion toward brand or product,get look sxsws rumored apple popup store link sxsw apple
3973,32gb black at&amp;t in stock!! Yes!! #SXSW #iPad2 #Austin #apple,iPad,Positive emotion,32gb black atampt stock yes sxsw ipad2 austin apple
3974,#sxsw talk by @mention on iPad design had great examples and insights picking up my copy of his book now {link},iPad,Positive emotion,sxsw talk mention ipad design great example insight picking copy book link
3975,"Great talk by @mention from @mention about game mechanics. &quot;If u cant make it good, make it red.  If u cant make it red, make it big.&quot; #sxsw",,No emotion toward brand or product,great talk mention mention game mechanic quotif u cant make good make red u cant make red make bigquot sxsw
3976,#sxsw look for the blue hair. I've got your free android phone info stickers from @mention #allhat3,,Positive emotion,sxsw look blue hair ive got free android phone info sticker mention allhat3
3977,Great talk from @mention on designing good #tapworthy iPad apps. I may actually pick up the book #sxsw,iPad or iPhone App,Positive emotion,great talk mention designing good tapworthy ipad apps may actually pick book sxsw
3978,#Hollrback is being released at #SXSW! iPhone users can grab the app at Hollrback.com @mention,iPad or iPhone App,Positive emotion,hollrback released sxsw iphone user grab app hollrbackcom mention
3979,LaunchRock is launching an iPad in the sky 4 grabs @mention #SXSW! Click 2 find the location! #launch {link} via @mention,,No emotion toward brand or product,launchrock launching ipad sky 4 grab mention sxsw click 2 find location launch link via mention
3980,LaunchRock is launching iPods iPad in the sky for grabs @mention #SXSW! Join me 2 find the location! #launch {link} via @mention,,No emotion toward brand or product,launchrock launching ipod ipad sky grab mention sxsw join 2 find location launch link via mention
3981,First talk of the day : iPad design headaches. #SXSW,iPad,Negative emotion,first talk day ipad design headache sxsw
3982,Sneak peak of the Google exhibit at the #SXSW trade show  {link},,No emotion toward brand or product,sneak peak google exhibit sxsw trade show link
3983,Great talk on using game mechanics to get user engagement @mention from google rocked it. #sxsw,Google,Positive emotion,great talk using game mechanic get user engagement mention google rocked sxsw
3984,Come check out @mention iPad App demos at #ARM's #SXSWparty on Mon! {link} #SXSW #SXSW2011,,Positive emotion,come check mention ipad app demo arm sxswparty mon link sxsw sxsw2011
3985,"Tech Check podcast -- #SxSW #Android passes #BlackBerry, a big Twitter #fail! -- {link} by @mention #sxsw #cnn",,Positive emotion,tech check podcast sxsw android pass blackberry big twitter fail link mention sxsw cnn
3986,"Tech Check podcast -- South By Southwest, Android passes BlackBerry, a big Twitter fail -- {link} #sxsw #cnn",Android,Positive emotion,tech check podcast south southwest android pass blackberry big twitter fail link sxsw cnn
3987,"A two-week pop-up #Apple store in downtown Austin, just in time for #SXSW and iPad2. Very cool.",iPad,Positive emotion,twoweek popup apple store downtown austin time sxsw ipad2 cool
3988,First book purchased for the new iPad? @mention &quot;Thank You Economy.&quot; Can't wait for him to #crushit this afternoon! #sxsw #tye,iPad,Positive emotion,first book purchased new ipad mention quotthank economyquot cant wait crushit afternoon sxsw tye
3989,C23: Check the Head  {link} [codes valid: 12:00-3:59:59p 03/13/11] #infektd #sxsw #cvdc,,No emotion toward brand or product,c23 check head link code valid 120035959p 031311 infektd sxsw cvdc
3990,Josh Clark:  I hate the iPad's back button with the heat of a million suns.  #tapworthy #SXSW,iPad,Negative emotion,josh clark hate ipads back button heat million sun tapworthy sxsw
3991,Josh Clark's (@mention iPad UI talk is fabulous. Full of objective critiques and insightful suggestions. {link} #sxsw,iPad,Positive emotion,josh clark mention ipad ui talk fabulous full objective critique insightful suggestion link sxsw
3992,Join {link} and starting tonight the person with the most friends in their city by end of #SXSW Festival wins an iPad 2!!!,,No emotion toward brand or product,join link starting tonight person friend city end sxsw festival win ipad 2
3993,Join {link} Most friends in ur city @mention end of #SXSW wins an iPad 2! C'mon @mention Help our @mention chng the world!,iPad,Positive emotion,join link friend ur city mention end sxsw win ipad 2 cmon mention help mention chng world
3994,The hannukah miracle of the morning: uncharged iPhone still at 55% battery #sxsw,iPhone,Positive emotion,hannukah miracle morning uncharged iphone still 55 battery sxsw
3995,Google take 3. Google Circles may be announced today at #SXSW. Their third try at #SocialNetworking. {link},,No emotion toward brand or product,google take 3 google circle may announced today sxsw third try socialnetworking link
3996,I feel like a Badass. @mention gave me a free drink. #SXSW,,No emotion toward brand or product,feel like badass mention gave free drink sxsw
3997,sounds like a job for #sxsw RT @mention Some detail about the new Bomb It iPhone App would love some early adopters! {link},iPad or iPhone App,Positive emotion,sound like job sxsw rt mention detail new bomb iphone app would love early adopter link
3998,sounds like a job for #sxsw Some detail about the new Bomb It iPhone App would love some early ado... {link},iPad or iPhone App,Positive emotion,sound like job sxsw detail new bomb iphone app would love early ado link
3999,Sounds like Buzz rebranded w/an inner circle  RT @mention Google to Launch New Social Network: &quot;Circles&quot; {link} #sxsw,Google,Positive emotion,sound like buzz rebranded wan inner circle rt mention google launch new social network quotcirclesquot link sxsw
4000,I feel like Harry in #dumbanddumber in this #SXSW panel with all these google peeps #understandinghumans,,No emotion toward brand or product,feel like harry dumbanddumber sxsw panel google peep understandinghumans
4001,I feel like I'm in an apple commercial waiting in line to fly to #sxsw,,No emotion toward brand or product,feel like im apple commercial waiting line fly sxsw
4002,"I feel like my iPhone: Always on, always doing something, running out of battery fast. #sxsw",iPhone,I can't tell,feel like iphone always always something running battery fast sxsw
4003,Can't. Take. Hands. Off. iPhone.  Even when it's charging and I have zero juice left. #appleaddiction #SXSW,iPhone,Positive emotion,cant take hand iphone even charging zero juice left appleaddiction sxsw
4004,Just checked into the #SXSW trade show. @mention is right across from Google!,,No emotion toward brand or product,checked sxsw trade show mention right across google
4005,@mention Kenya asked me to blog about it. I may do so tomorrow. Apple has a pop-up store coming to #SXSW,,No emotion toward brand or product,mention kenya asked blog may tomorrow apple popup store coming sxsw
4006,i hope u kept tha NXDC app RT @mention There's an app for #SXSW on the iPhone.. #downloaded,,No emotion toward brand or product,hope u kept tha nxdc app rt mention there app sxsw iphone downloaded
4007,Heartbreaker #Sxsw #apple #ipad2 RT @mention @mention just asked. Sadly no :(,,No emotion toward brand or product,heartbreaker sxsw apple ipad2 rt mention mention asked sadly
4008,"Heat Tracker is a cool heatmap iPhone app overlay for Foursquare, but everything is on fire here #SXSW",iPad or iPhone App,Positive emotion,heat tracker cool heatmap iphone app overlay foursquare everything fire sxsw
4009,iPad2 seekers still waiting at Austin Apple pop-up #SXSW {link},,No emotion toward brand or product,ipad2 seeker still waiting austin apple popup sxsw link
4010,#iPad2 takes over #sxsw. The line was already halfway down the block around noon. Craziness (via @mention  {link},iPad,Positive emotion,ipad2 take sxsw line already halfway block around noon craziness via mention link
4011,"Google takes the mantra of 'Dont be evil' to heart, yet their pride in their products make them guilty of the 7th deadly sin, Superbia #sxsw",Google,Negative emotion,google take mantra evil heart yet pride product make guilty 7th deadly sin superbia sxsw
4012,Apple marketing is still impressive at #SXSW RT@mention {link},Apple,Positive emotion,apple marketing still impressive sxsw rtmention link
4013,"Jesus hockey mask?! I'm worse than I thought... #SXSW @mention Apple Store, SXSW {link}",,No emotion toward brand or product,jesus hockey mask im worse thought sxsw mention apple store sxsw link
4014,I got turkey! RT @mention Random Apple Fan just bought lunch for everyone in line at #SXSW Popup Apple Store #ipad2 cc/ @mention,Apple,Positive emotion,got turkey rt mention random apple fan bought lunch everyone line sxsw popup apple store ipad2 cc mention
4015,Awaiting Keynote speaker Chris Poole. #SXSW #iPhone  #TwitPict {link},,No emotion toward brand or product,awaiting keynote speaker chris poole sxsw iphone twitpict link
4016,Facebook Killers - Google Circles to be Announced at SXSW Interactive Festival {link} #google #sxsw,,No emotion toward brand or product,facebook killer google circle announced sxsw interactive festival link google sxsw
4017,Really liking the #sxsw iPhone app... Thanks for making an event app. that appears to work well!!!,iPad or iPhone App,Positive emotion,really liking sxsw iphone app thanks making event app appears work well
4018,Wiebe walking through conceptual graphing {link} #sxsw / @mention you'd be loving this,,No emotion toward brand or product,wiebe walking conceptual graphing link sxsw mention loving
4019,Survival kit provided to folks in line at the #SxSW apple store this morning... Genius!  {link},Apple,Positive emotion,survival kit provided folk line sxsw apple store morning genius link
4020,Eating a kitkat the size of half an iPad... Gotta love Americans for their sense of measure #sxsw,,No emotion toward brand or product,eating kitkat size half ipad got ta love american sense measure sxsw
4021,"@mention Know about @mention ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive emotion,mention know mention awesome ipadiphone app likely appreciate design also theyre giving free t sxsw
4022,#playhopskoch is in the apple app store (as well as the android market) getting ready to rock #sxsw,iPad or iPhone App,Positive emotion,playhopskoch apple app store well android market getting ready rock sxsw
4023,"#SXSW folks, the Lonely Planet iPhone guide to Austin is free this week. {link}",,No emotion toward brand or product,sxsw folk lonely planet iphone guide austin free week link
4024,"#SXSW folks, what's the best new iPhone/iPad app you've come across so far?",,No emotion toward brand or product,sxsw folk whats best new iphoneipad app come across far
4025,#SXSW folks: anybody going to the iPad/Android panel at 3:30?,,No emotion toward brand or product,sxsw folk anybody going ipadandroid panel 330
4026,&quot;Desktop publishing saved Apple. Pagemaker was a gift from God.&quot; @mention #sxsw,Apple,Positive emotion,quotdesktop publishing saved apple pagemaker gift godquot mention sxsw
4027,Inofficial #SXSW torrents are available here: {link},,No emotion toward brand or product,inofficial sxsw torrent available link
4028,Successful #sxsw trip. Learned a ton. Lots of new insights / knowledge. New reading list / playlists. Wrote &amp; submitted a new iPhone app.,,No emotion toward brand or product,successful sxsw trip learned ton lot new insight knowledge new reading list playlist wrote amp submitted new iphone app
4029,"Apple will be opening a temporary Apple Store at 6th and Congress, tomorrow March 11 for iPad sales, so you don't have to miss SXSW! #sxsw",,No emotion toward brand or product,apple opening temporary apple store 6th congress tomorrow march 11 ipad sale miss sxsw sxsw
4030,Apple will be setting up shop @mention #SXSW this year. {link} The Whole of Geekdom can now take a collective shy of relief.,,No emotion toward brand or product,apple setting shop mention sxsw year link whole geekdom take collective shy relief
4031,now I feel better (#106 1st day) @mention #sxsw ipad store sold out of everything except 64gig wifi only white,,Positive emotion,feel better 106 1st day mention sxsw ipad store sold everything except 64gig wifi white
4032,"contextual discovery &amp; search will combine calendars, weather,flight,traffic data to create personalized trip advising. m.mayer google #sxsw",,No emotion toward brand or product,contextual discovery amp search combine calendar weatherflighttraffic data create personalized trip advising mmayer google sxsw
4033,Contextual discovery is a part of the future according to Google #SXSW,,No emotion toward brand or product,contextual discovery part future according google sxsw
4034,"contextual discovery, how to find answers to your questions #google #SxSW",,No emotion toward brand or product,contextual discovery find answer question google sxsw
4035,#mint goal for iPhone app: top 3 finance app. #sxsw,,No emotion toward brand or product,mint goal iphone app top 3 finance app sxsw
4036,It is well known steve jobs hates #sxsw RT @mention iPhone just autocorrected &quot;sxsw&quot; to &quot;ass's&quot;.,,No emotion toward brand or product,well known steve job hate sxsw rt mention iphone autocorrected quotsxswquot quotasssquot
4037,"New Social Media Tool! RT @mention Google to Launch Major New Social Network, &quot;Circles&quot; -possibly Today {link} #sxsw",,No emotion toward brand or product,new social medium tool rt mention google launch major new social network quotcirclesquot possibly today link sxsw
4038,"Out of all my devices the iPad is the only one that can hang an entire day at #sxsw... 37% remaining, the others died hours ago.",iPad,Positive emotion,device ipad one hang entire day sxsw 37 remaining others died hour ago
4039,won't call myself 'major' yet :p RT @mention Google to Launch Major New Social Network Called Circles {link} #sxsw,,No emotion toward brand or product,call major yet p rt mention google launch major new social network called circle link sxsw
4040,New social network from Google? News abuzz about the launch of #GoogleCircles at #SXSW,Other Google product or service,Positive emotion,new social network google news abuzz launch googlecircles sxsw
4041,New social network may debut at #SXSW Google Circles {link} #EatDrinkTweet  Not done with you yet!,Other Google product or service,Positive emotion,new social network may debut sxsw google circle link eatdrinktweet done yet
4042,"New Social Network may launch 2day! &quot;Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ",Other Google product or service,Positive emotion,new social network may launch 2day quotgoogle launch major new social network called circle possibly today link sxsw
4043,"Msft panel on touch interfaces shows a bunch of tablets, but no iPad #sxsw #DontBeHatin",iPad,Positive emotion,msft panel touch interface show bunch tablet ipad sxsw dontbehatin
4044,Apple will open a popup store Friday at 6th and Congress. #SXSW via satesman.com,,No emotion toward brand or product,apple open popup store friday 6th congress sxsw via satesmancom
4045,Historical photo mashup with Google maps at {link} #SXSW,,No emotion toward brand or product,historical photo mashup google map link sxsw
4046,"Things ppl say about/to @mention make me laugh.  You want free turn-by-turn gps, but wait - don't take pics of the sidewalk #cmon #SXSW",,No emotion toward brand or product,thing ppl say aboutto mention make laugh want free turnbyturn gps wait take pic sidewalk cmon sxsw
4047,&quot;Will take time for others to catch up to iPad.&quot; @mention #tapworthy #sxsw,iPad,Positive emotion,quotwill take time others catch ipadquot mention tapworthy sxsw
4048,Super cool that #Apple's pop up store for #SXSW will be in our office building! {link} @mention #SXSWi #Austin,Apple,Positive emotion,super cool apple pop store sxsw office building link mention sxswi austin
4049,Took until the 8th row on the plane to spot an iPad! I thought we were going to #SXSW? #elonsxsw,,No emotion toward brand or product,took 8th row plane spot ipad thought going sxsw elonsxsw
4050,S/O TO ALL THE PEOPLE WHO HAD TO GOOGLE #SXSW.... I DIN KNOW EITHER... (i'm hip now though!!!),,No emotion toward brand or product,people google sxsw din know either im hip though
4051,Why is all the prizes at #SXSW apple products? Sigh,Apple,Negative emotion,prize sxsw apple product sigh
4052,SXSW panel: Google envisions search without searches: {link} #sxsw #sxswi,,No emotion toward brand or product,sxsw panel google envisions search without search link sxsw sxswi
4053,A ÛÏspecialÛÏ Apple Store in 6th and Congress opens today in Austin. #sxsw attendees will be able to buy their iPad2 starting at 5pm.,,No emotion toward brand or product,special apple store 6th congress open today austin sxsw attendee able buy ipad2 starting 5pm
4054,"#sxsw html5 Apple/Microsoft will likely be doing javascript integration. @mention Browsers compete, not collaborate. System is amoral.",,No emotion toward brand or product,sxsw html5 applemicrosoft likely javascript integration mention browser compete collaborate system amoral
4055,no umbrella when you have &quot;the list&quot; via @mention ÷¼ Are you all set? ÷_ {link} ÷_ #edchat #musedchat #sxsw #sxswi #newTwitter,,No emotion toward brand or product,umbrella quotthe listquot via mention set link edchat musedchat sxsw sxswi newtwitter
4056,Won 2nd place in Fandango karaoke. 1st prize was 1 yr Fandango tkts - useless in Canada. 2nd prize *is* more useful: an iPad! #sxsw,iPad,Positive emotion,2nd place fandango karaoke 1st prize 1 yr fandango tkts useless canada 2nd prize useful ipad sxsw
